Precio_BTC;Fecha;Precio_AAPL
11.425.239.755.195.300;21/8/2025;22.447.215.270.996.000
11.241.439.987.336.500;22/8/2025;2.273.267.059.326.170
11.339.954.847.314.900;25/8/2025;22.672.784.423.828.100
11.018.535.443.900.400;26/8/2025;22.887.376.403.808.500
11.184.270.999.260.500;27/8/2025;23.005.152.893.066.400
11.121.608.479.629.100;28/8/2025;23.211.758.422.851.500
11.252.559.740.669.700;29/8/2025;23.169.837.951.660.100
10.916.268.557.992.200;2/9/2025;22.928.298.950.195.300
11.119.018.209.845.400;3/9/2025;23.801.634.216.308.500
11.171.151.977.725.100;4/9/2025;23.932.383.728.027.300
110.724.736.377.486;5/9/2025;2.392.340.087.890.620
1.111.319.923.868.400;8/9/2025;23.742.745.971.679.600
11.202.512.878.118.700;9/9/2025;2.339.041.748.046.870
11.154.743.956.434.700;10/9/2025;22.635.855.102.539.000
11.397.532.489.468.700;11/9/2025;22.959.239.196.777.300
11.550.316.663.193.000;12/9/2025;2.336.247.100.830.070
11.537.355.555.886.800;15/9/2025;23.624.969.482.421.800
11.539.725.272.727.500;16/9/2025;2.376.969.451.904.290
1.167.628.496.864.190;17/9/2025;2.385.353.546.142.570
11.645.594.648.225.300;18/9/2025;23.742.745.971.679.600
11.714.549.508.952.000;19/9/2025;245.032.958.984.375
11.530.447.999.407.000;22/9/2025;2.555.928.192.138.670
11.269.674.101.711.800;23/9/2025;2.539.459.686.279.290
11.202.216.587.861.100;24/9/2025;2.518.300.018.310.540
11.332.056.908.541.000;25/9/2025;2.563.813.171.386.710
10.896.353.013.595.600;26/9/2025;25.497.401.428.222.600
11.214.257.362.752.600;29/9/2025;2.539.459.686.279.290
11.430.915.041.119.400;30/9/2025;25.414.559.936.523.400
11.402.422.783.550.000;1/10/2025;2.549.640.350.341.790
11.850.324.451.752.400;2/10/2025;2.566.408.386.230.460
12.061.171.911.591.000;3/10/2025;2.575.291.442.871.090
12.350.618.520.027.600;6/10/2025;25.620.166.015.625
12.477.350.823.074.400;7/10/2025;25.599.209.594.726.500
12.151.875.593.575.000;8/10/2025;257.569.091.796.875
12.335.250.487.523.200;9/10/2025;25.355.670.166.015.600
12.169.803.066.778.300;10/10/2025;24.480.340.576.171.800
1.151.895.714.637.250;13/10/2025;24.718.885.803.222.600
11.522.228.302.116.500;14/10/2025;24.729.864.501.953.100
11.315.656.943.826.900;15/10/2025;24.886.566.162.109.300
11.070.866.960.879.400;16/10/2025;24.697.926.330.566.400
10.807.672.862.033.100;17/10/2025;25.181.002.807.617.100
108.621.134.857.428;20/10/2025;2.617.411.193.847.650
1.106.085.714.932.660;21/10/2025;26.227.008.056.640.600
10.848.610.262.716.600;22/10/2025;2.579.583.435.058.590
1.076.184.266.715.400;23/10/2025;2.590.861.511.230.460
11.004.851.827.291.600;24/10/2025;2.623.200.378.417.960
11.447.601.227.508.500;27/10/2025;2.682.986.145.019.530
11.418.279.442.806.700;28/10/2025;2.684.882.507.324.210
11.295.034.863.259.400;29/10/2025;2.691.869.201.660.150
11.004.666.925.837.200;30/10/2025;2.708.836.669.921.870
10.824.076.528.725.700;31/10/2025;26.985.565.185.546.800
1.106.502.092.823.140;3/11/2025;26.853.814.697.265.600
10.652.108.673.825.700;4/11/2025;2.695.262.756.347.650
1.016.352.740.227.230;5/11/2025;2.696.260.986.328.120
10.387.795.965.955.100;6/11/2025;26.925.677.490.234.300
1.013.226.402.945.850;7/11/2025;2.679.592.590.332.030
10.470.967.861.656.200;10/11/2025;2.691.781.311.035.150
10.590.907.272.321.700;11/11/2025;27.499.267.578.125
10.296.077.564.500.500;12/11/2025;27.321.435.546.875
10.152.170.859.453.500;13/11/2025;2.726.948.547.363.280
997.304.533.956.204;14/11/2025;27.215.533.447.265.600
9.441.132.947.182.960;17/11/2025;2.672.099.609.375
920.367.255.045.672;18/11/2025;26.719.000.244.140.600
